# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=189
# tempo_change_tick=0 bpm=190
# tempo_change_tick=2880 bpm=189
# tempo_change_tick=135359 bpm=175
# tempo_change_tick=135360 bpm=175
# tempo_change_tick=138239 bpm=158
# tempo_change_tick=141120 bpm=189
# tempo_change_tick=368640 bpm=180
# tempo_change_tick=371519 bpm=189
# tempo_change_tick=599040 bpm=180
# tempo_change_tick=599042 bpm=180
# tempo_change_tick=599048 bpm=180
# tempo_change_tick=599054 bpm=180
# tempo_change_tick=599059 bpm=180
# tempo_change_tick=599065 bpm=180
# tempo_change_tick=599070 bpm=180
# tempo_change_tick=599076 bpm=180
# tempo_change_tick=599082 bpm=180
# tempo_change_tick=599087 bpm=180
# tempo_change_tick=599093 bpm=180
# tempo_change_tick=599099 bpm=180
# tempo_change_tick=599104 bpm=180
# tempo_change_tick=599110 bpm=180
# tempo_change_tick=599115 bpm=180
# tempo_change_tick=599121 bpm=180
# tempo_change_tick=599127 bpm=180
# tempo_change_tick=599132 bpm=180
# tempo_change_tick=599138 bpm=180
# tempo_change_tick=599144 bpm=180
# tempo_change_tick=599149 bpm=180
# tempo_change_tick=599155 bpm=180
# tempo_change_tick=599160 bpm=180
# tempo_change_tick=599166 bpm=180
# tempo_change_tick=599172 bpm=180
# tempo_change_tick=599177 bpm=180
# tempo_change_tick=599183 bpm=180
# tempo_change_tick=599189 bpm=180
# tempo_change_tick=599194 bpm=180
# tempo_change_tick=599200 bpm=180
# tempo_change_tick=599205 bpm=180
# tempo_change_tick=599211 bpm=180
# tempo_change_tick=599217 bpm=180
# tempo_change_tick=599222 bpm=180
# tempo_change_tick=599228 bpm=180
# tempo_change_tick=599234 bpm=180
# tempo_change_tick=599239 bpm=180
# tempo_change_tick=599245 bpm=180
# tempo_change_tick=599250 bpm=180
# tempo_change_tick=599256 bpm=180
# tempo_change_tick=599262 bpm=180
# tempo_change_tick=599267 bpm=180
# tempo_change_tick=599273 bpm=180
# tempo_change_tick=599279 bpm=180
# tempo_change_tick=599284 bpm=180
# tempo_change_tick=599290 bpm=180
# tempo_change_tick=599295 bpm=180
# tempo_change_tick=599301 bpm=180
# tempo_change_tick=599307 bpm=180
# tempo_change_tick=599312 bpm=180
# tempo_change_tick=599318 bpm=180
# tempo_change_tick=599324 bpm=180
# tempo_change_tick=599329 bpm=180
# tempo_change_tick=599335 bpm=180
# tempo_change_tick=599340 bpm=180
# tempo_change_tick=599346 bpm=180
# tempo_change_tick=599352 bpm=180
# tempo_change_tick=599357 bpm=180
# tempo_change_tick=599363 bpm=180
# tempo_change_tick=599369 bpm=180
# tempo_change_tick=599374 bpm=180
# tempo_change_tick=599380 bpm=180
# tempo_change_tick=599385 bpm=180
# tempo_change_tick=599391 bpm=180
# tempo_change_tick=599397 bpm=179
# tempo_change_tick=599402 bpm=179
# tempo_change_tick=599408 bpm=179
# tempo_change_tick=599414 bpm=179
# tempo_change_tick=599419 bpm=179
# tempo_change_tick=599425 bpm=179
# tempo_change_tick=599430 bpm=179
# tempo_change_tick=599436 bpm=179
# tempo_change_tick=599442 bpm=179
# tempo_change_tick=599447 bpm=179
# tempo_change_tick=599453 bpm=179
# tempo_change_tick=599459 bpm=179
# tempo_change_tick=599464 bpm=179
# tempo_change_tick=599470 bpm=179
# tempo_change_tick=599475 bpm=179
# tempo_change_tick=599481 bpm=179
# tempo_change_tick=599487 bpm=179
# tempo_change_tick=599492 bpm=179
# tempo_change_tick=599498 bpm=179
# tempo_change_tick=599504 bpm=179
# tempo_change_tick=599509 bpm=179
# tempo_change_tick=599515 bpm=179
# tempo_change_tick=599520 bpm=179
# tempo_change_tick=599526 bpm=179
# tempo_change_tick=599532 bpm=179
# tempo_change_tick=599537 bpm=179
# tempo_change_tick=599543 bpm=179
# tempo_change_tick=599549 bpm=179
# tempo_change_tick=599554 bpm=179
# tempo_change_tick=599560 bpm=179
# tempo_change_tick=599565 bpm=179
# tempo_change_tick=599571 bpm=179
# tempo_change_tick=599577 bpm=179
# tempo_change_tick=599582 bpm=179
# tempo_change_tick=599588 bpm=179
# tempo_change_tick=599594 bpm=179
# tempo_change_tick=599599 bpm=179
# tempo_change_tick=599605 bpm=179
# tempo_change_tick=599610 bpm=179
# tempo_change_tick=599616 bpm=179
# tempo_change_tick=599622 bpm=179
# tempo_change_tick=599627 bpm=179
# tempo_change_tick=599633 bpm=179
# tempo_change_tick=599639 bpm=179
# tempo_change_tick=599644 bpm=179
# tempo_change_tick=599650 bpm=179
# tempo_change_tick=599655 bpm=179
# tempo_change_tick=599661 bpm=179
# tempo_change_tick=599667 bpm=179
# tempo_change_tick=599672 bpm=179
# tempo_change_tick=599678 bpm=179
# tempo_change_tick=599684 bpm=179
# tempo_change_tick=599689 bpm=179
# tempo_change_tick=599695 bpm=179
# tempo_change_tick=599700 bpm=179
# tempo_change_tick=599706 bpm=179
# tempo_change_tick=599712 bpm=179
# tempo_change_tick=599717 bpm=179
# tempo_change_tick=599723 bpm=179
# tempo_change_tick=599729 bpm=179
# tempo_change_tick=599734 bpm=179
# tempo_change_tick=599740 bpm=179
# tempo_change_tick=599745 bpm=179
# tempo_change_tick=599751 bpm=179
# tempo_change_tick=599757 bpm=179
# tempo_change_tick=599762 bpm=179
# tempo_change_tick=599768 bpm=179
# tempo_change_tick=599774 bpm=179
# tempo_change_tick=599779 bpm=179
# tempo_change_tick=599785 bpm=179
# tempo_change_tick=599790 bpm=179
# tempo_change_tick=599796 bpm=179
# tempo_change_tick=599802 bpm=179
# tempo_change_tick=599807 bpm=179
# tempo_change_tick=599813 bpm=179
# tempo_change_tick=599819 bpm=179
# tempo_change_tick=599824 bpm=179
# tempo_change_tick=599830 bpm=179
# tempo_change_tick=599835 bpm=179
# tempo_change_tick=599841 bpm=179
# tempo_change_tick=599847 bpm=179
# tempo_change_tick=599852 bpm=179
# tempo_change_tick=599858 bpm=179
# tempo_change_tick=599864 bpm=179
# tempo_change_tick=599869 bpm=179
# tempo_change_tick=599875 bpm=179
# tempo_change_tick=599880 bpm=179
# tempo_change_tick=599886 bpm=179
# tempo_change_tick=599892 bpm=179
# tempo_change_tick=599897 bpm=179
# tempo_change_tick=599903 bpm=179
# tempo_change_tick=599909 bpm=179
