# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=160
# tempo_change_tick=0 bpm=160
# tempo_change_tick=0 bpm=160
# tempo_change_tick=0 bpm=160
# tempo_change_tick=4533 bpm=160
# tempo_change_tick=5385 bpm=160
# tempo_change_tick=5783 bpm=160
# tempo_change_tick=6044 bpm=160
# tempo_change_tick=6240 bpm=160
# tempo_change_tick=6396 bpm=160
# tempo_change_tick=6526 bpm=160
# tempo_change_tick=6637 bpm=160
# tempo_change_tick=6735 bpm=160
# tempo_change_tick=6821 bpm=160
# tempo_change_tick=6899 bpm=160
# tempo_change_tick=6970 bpm=160
# tempo_change_tick=7035 bpm=160
# tempo_change_tick=7095 bpm=160
# tempo_change_tick=7151 bpm=160
# tempo_change_tick=7202 bpm=160
# tempo_change_tick=7251 bpm=160
# tempo_change_tick=7297 bpm=160
# tempo_change_tick=7340 bpm=160
# tempo_change_tick=7381 bpm=160
# tempo_change_tick=7420 bpm=160
# tempo_change_tick=7457 bpm=160
# tempo_change_tick=7492 bpm=160
# tempo_change_tick=7526 bpm=160
# tempo_change_tick=7559 bpm=160
# tempo_change_tick=7590 bpm=160
# tempo_change_tick=7620 bpm=160
# tempo_change_tick=7649 bpm=160
# tempo_change_tick=7676 bpm=160
# tempo_change_tick=7703 bpm=160
# tempo_change_tick=7729 bpm=160
# tempo_change_tick=7754 bpm=160
# tempo_change_tick=7779 bpm=160
# tempo_change_tick=7802 bpm=160
# tempo_change_tick=7825 bpm=160
# tempo_change_tick=7847 bpm=160
# tempo_change_tick=7869 bpm=160
# tempo_change_tick=7890 bpm=160
# tempo_change_tick=7910 bpm=160
# tempo_change_tick=7930 bpm=160
# tempo_change_tick=7950 bpm=160
# tempo_change_tick=7969 bpm=160
# tempo_change_tick=7987 bpm=160
# tempo_change_tick=8005 bpm=160
# tempo_change_tick=8023 bpm=160
# tempo_change_tick=8040 bpm=160
# tempo_change_tick=8057 bpm=160
# tempo_change_tick=8074 bpm=160
# tempo_change_tick=8090 bpm=160
# tempo_change_tick=8106 bpm=160
# tempo_change_tick=8122 bpm=160
# tempo_change_tick=8137 bpm=160
# tempo_change_tick=8152 bpm=160
# tempo_change_tick=8166 bpm=160
# tempo_change_tick=8181 bpm=160
# tempo_change_tick=8195 bpm=160
# tempo_change_tick=8209 bpm=160
# tempo_change_tick=8223 bpm=160
# tempo_change_tick=8236 bpm=160
# tempo_change_tick=8249 bpm=160
# tempo_change_tick=8262 bpm=160
# tempo_change_tick=8275 bpm=160
# tempo_change_tick=8288 bpm=160
# tempo_change_tick=8300 bpm=159
# tempo_change_tick=8312 bpm=159
# tempo_change_tick=8324 bpm=159
# tempo_change_tick=8336 bpm=159
# tempo_change_tick=8347 bpm=159
# tempo_change_tick=8359 bpm=159
# tempo_change_tick=8370 bpm=159
# tempo_change_tick=8381 bpm=159
# tempo_change_tick=8392 bpm=159
# tempo_change_tick=8403 bpm=159
# tempo_change_tick=8414 bpm=159
# tempo_change_tick=8424 bpm=159
# tempo_change_tick=8435 bpm=159
# tempo_change_tick=8445 bpm=159
# tempo_change_tick=8455 bpm=159
# tempo_change_tick=8465 bpm=159
# tempo_change_tick=8475 bpm=159
# tempo_change_tick=8484 bpm=159
# tempo_change_tick=8494 bpm=159
# tempo_change_tick=8504 bpm=159
# tempo_change_tick=8513 bpm=159
# tempo_change_tick=8522 bpm=159
# tempo_change_tick=8531 bpm=159
# tempo_change_tick=8540 bpm=159
# tempo_change_tick=8549 bpm=159
# tempo_change_tick=8558 bpm=159
# tempo_change_tick=8567 bpm=159
# tempo_change_tick=8576 bpm=159
# tempo_change_tick=8584 bpm=159
# tempo_change_tick=8593 bpm=159
# tempo_change_tick=8601 bpm=159
# tempo_change_tick=8609 bpm=159
# tempo_change_tick=8617 bpm=159
# tempo_change_tick=8626 bpm=159
# tempo_change_tick=8634 bpm=159
# tempo_change_tick=8642 bpm=159
# tempo_change_tick=8649 bpm=159
# tempo_change_tick=8657 bpm=159
# tempo_change_tick=8665 bpm=159
# tempo_change_tick=8673 bpm=159
# tempo_change_tick=8680 bpm=159
# tempo_change_tick=8688 bpm=159
# tempo_change_tick=8695 bpm=159
# tempo_change_tick=8702 bpm=159
# tempo_change_tick=8710 bpm=159
